Crop,State,Market,Year,Month,Season,Price_per_Quintal,Cost_per_Quintal,Profit
Wheat,Maharashtra,Pune,2022,1,Rabi,1416,980.0,436.0
Wheat,Maharashtra,Nagpur,2022,2,Rabi,1394,980.0,414.0
Wheat,Maharashtra,Pune,2022,3,Rabi,1466,980.0,486.0
Wheat,Maharashtra,Nagpur,2022,4,Zaid,1430,980.0,450.0
Wheat,Maharashtra,Nagpur,2022,5,Zaid,1507,980.0,527.0
Wheat,Maharashtra,Nagpur,2022,6,Kharif,1514,980.0,534.0
Wheat,Maharashtra,Pune,2022,7,Kharif,1542,980.0,562.0
Wheat,Maharashtra,Aurangabad,2022,8,Kharif,1569,980.0,589.0
Wheat,Maharashtra,Nagpur,2022,9,Kharif,1508,980.0,528.0
Wheat,Maharashtra,Pune,2022,10,Rabi,1521,980.0,541.0
Wheat,Maharashtra,Aurangabad,2022,11,Rabi,1516,980.0,536.0
Wheat,Maharashtra,Nashik,2022,12,Rabi,1559,980.0,579.0
Wheat,Maharashtra,Aurangabad,2023,1,Rabi,1366,980.0,386.0
Wheat,Maharashtra,Pune,2023,2,Rabi,1439,980.0,459.0
Wheat,Maharashtra,Aurangabad,2023,3,Rabi,1427,980.0,447.0
Wheat,Maharashtra,Nashik,2023,4,Zaid,1467,980.0,487.0
Wheat,Maharashtra,Pune,2023,5,Zaid,1513,980.0,533.0
Wheat,Maharashtra,Nagpur,2023,6,Kharif,1530,980.0,550.0
Wheat,Maharashtra,Aurangabad,2023,7,Kharif,1496,980.0,516.0
Wheat,Maharashtra,Aurangabad,2023,8,Kharif,1561,980.0,581.0
Wheat,Maharashtra,Nagpur,2023,9,Kharif,1564,980.0,584.0
Wheat,Maharashtra,Nashik,2023,10,Rabi,1561,980.0,581.0
Wheat,Maharashtra,Nashik,2023,11,Rabi,1561,980.0,581.0
Wheat,Maharashtra,Aurangabad,2023,12,Rabi,1580,980.0,600.0
Wheat,Maharashtra,Aurangabad,2024,1,Rabi,1419,980.0,439.0
Wheat,Maharashtra,Pune,2024,2,Rabi,1443,980.0,463.0
Wheat,Maharashtra,Pune,2024,3,Rabi,1397,980.0,417.0
Wheat,Maharashtra,Nagpur,2024,4,Zaid,1460,980.0,480.0
Wheat,Maharashtra,Pune,2024,5,Zaid,1445,980.0,465.0
Wheat,Maharashtra,Nashik,2024,6,Kharif,1478,980.0,498.0
Wheat,Maharashtra,Pune,2024,7,Kharif,1458,980.0,478.0
Wheat,Maharashtra,Nashik,2024,8,Kharif,1529,980.0,549.0
Wheat,Maharashtra,Nashik,2024,9,Kharif,1493,980.0,513.0
Wheat,Maharashtra,Nashik,2024,10,Rabi,1552,980.0,572.0
Wheat,Maharashtra,Aurangabad,2024,11,Rabi,1598,980.0,618.0
Wheat,Maharashtra,Nagpur,2024,12,Rabi,1589,980.0,609.0
Rice,Maharashtra,Pune,2022,1,Rabi,1308,910.0,398.0
Rice,Maharashtra,Nagpur,2022,2,Rabi,1287,910.0,377.0
Rice,Maharashtra,Nashik,2022,3,Rabi,1329,910.0,419.0
Rice,Maharashtra,Aurangabad,2022,4,Zaid,1390,910.0,480.0
Rice,Maharashtra,Aurangabad,2022,5,Zaid,1374,910.0,464.0
Rice,Maharashtra,Nashik,2022,6,Kharif,1343,910.0,433.0
Rice,Maharashtra,Nashik,2022,7,Kharif,1360,910.0,450.0
Rice,Maharashtra,Nashik,2022,8,Kharif,1373,910.0,463.0
Rice,Maharashtra,Nagpur,2022,9,Kharif,1477,910.0,567.0
Rice,Maharashtra,Nashik,2022,10,Rabi,1417,910.0,507.0
Rice,Maharashtra,Nashik,2022,11,Rabi,1458,910.0,548.0
Rice,Maharashtra,Nashik,2022,12,Rabi,1503,910.0,593.0
Rice,Maharashtra,Nashik,2023,1,Rabi,1364,910.0,454.0
Rice,Maharashtra,Aurangabad,2023,2,Rabi,1374,910.0,464.0
Rice,Maharashtra,Aurangabad,2023,3,Rabi,1309,910.0,399.0
